drugbank_id,smiles
DB00203,CCCc(nn1C)c(c12)nc([nH]c2=O)-c3cc(ccc3OCC)S(=O)(=O)N4CC[NH+](C)CC4
DB00203,CCCc(nn1C)c(c12)nc(nc2[O-])-c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4
DB00204,CS(=O)(=O)Nc(cc1)ccc1CC[N@H+](C)CCOc2ccc(cc2)NS(=O)(=O)C
DB00204,CS(=O)(=O)Nc(cc1)ccc1CC[N@@H+](C)CCOc2ccc(cc2)NS(=O)(=O)C
DB00204,CS(=O)(=O)Nc(cc1)ccc1CCN(C)CCOc2ccc(cc2)NS(=O)(=O)C
DB00204,CS(=O)(=O)[N-]c(cc1)ccc1CC[N@H+](C)CCOc2ccc(cc2)NS(=O)(=O)C
DB00204,CS(=O)(=O)[N-]c(cc1)ccc1CC[N@@H+](C)CCOc2ccc(cc2)NS(=O)(=O)C
DB00204,CS(=O)(=O)Nc(cc1)ccc1CC[N@H+](C)CCOc2ccc(cc2)[N-]S(=O)(=O)C
DB00204,CS(=O)(=O)Nc(cc1)ccc1CC[N@@H+](C)CCOc2ccc(cc2)[N-]S(=O)(=O)C
DB00205,Nc(n1)nc(N)c(c1CC)-c2ccc(Cl)cc2
DB00205,Nc([nH+]1)nc(N)c(c1CC)-c2ccc(Cl)cc2
DB00205,Nc(n1)[nH+]c(N)c(c1CC)-c2ccc(Cl)cc2
DB00206,COc(c1)c(OC)c(OC)cc1C(=O)O[C@H](C2)[C@H](OC)[C@@H](C(=O)OC)[C@H]([C@H]23)C[C@H]4[N@H+](C3)CCc5c4[nH]c6c5ccc(c6)OC
DB00206,COc(c1)c(OC)c(OC)cc1C(=O)O[C@H](C2)[C@H](OC)[C@@H](C(=O)OC)[C@H]([C@H]23)C[C@H]4[N@@H+](C3)CCc5c4[nH]c6c5ccc(c6)OC
DB00206,COc(c1)c(OC)c(OC)cc1C(=O)O[C@H](C2)[C@H](OC)[C@@H](C(=O)OC)[C@H]([C@H]23)C[C@H]4N(C3)CCc5c4[nH]c6c5ccc(c6)OC
DB00207,C1[C@@H](C)C[N@H+](C)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@H](C)[C@@H](O[C@@H](C[C@@]2(C)OC)O[C@@H](C)[C@@H]2O)[C@H](C)[C@H]([C@]1(C)O)O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)[NH+](C)C
DB00207,C1[C@@H](C)C[N@@H+](C)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@H](C)[C@@H](O[C@@H](C[C@@]2(C)OC)O[C@@H](C)[C@@H]2O)[C@H](C)[C@H]([C@]1(C)O)O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)[NH+](C)C
DB00207,C1[C@@H](C)C[N@H+](C)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@H](C)[C@@H](O[C@@H](C[C@@]2(C)OC)O[C@@H](C)[C@@H]2O)[C@H](C)[C@H]([C@]1(C)O)O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C
DB00207,C1[C@@H](C)C[N@@H+](C)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@H](C)[C@@H](O[C@@H](C[C@@]2(C)OC)O[C@@H](C)[C@@H]2O)[C@H](C)[C@H]([C@]1(C)O)O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C
DB00207,C1[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@H](C)[C@@H](O[C@@H](C[C@@]2(C)OC)O[C@@H](C)[C@@H]2O)[C@H](C)[C@H]([C@]1(C)O)O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)[NH+](C)C
DB00208,Clc1ccccc1C[N@@H+](CC2)Cc(c23)ccs3
DB00208,Clc1ccccc1C[N@H+](CC2)Cc(c23)ccs3
DB00208,Clc1ccccc1CN(CC2)Cc(c23)ccs3
DB00209,C1CCC[N+]12[C@H]3CC[C@@H]2C[C@H](C3)OC(=O)C(O)(c4ccccc4)c5ccccc5
DB00210,C1[C@H](C2)C[C@H](C3)C[C@@H]1CC23c(c4OC)cc(cc4)-c(c5)ccc(c56)cc(C([O-])=O)cc6
DB00211,COc1cc(c(OC)cc1)[C@@H](O)CNC(=O)C[NH3+]
DB00211,COc1cc(c(OC)cc1)[C@H](O)CNC(=O)C[NH3+]
DB00211,COc1cc(c(OC)cc1)[C@@H](O)CNC(=O)CN
DB00211,COc1cc(c(OC)cc1)[C@H](O)CNC(=O)CN
DB00213,COc1c(OC)c(ncc1)C[S@@](=O)c(n2)[nH]c(c23)cc(OC(F)F)cc3
DB00213,COc1c(OC)c(ncc1)C[S@](=O)c(n2)[nH]c(c23)cc(OC(F)F)cc3
